row_index,order_id,dirty_reasons
0,1000-01,currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;phone_inconsistent_format;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters
1,ORD1001,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;outlier_date;phone_inconsistent_format;quantity_non_numeric;quantity_range_string;tax_or_discount_percent_string
2,ORD-1002,currency_symbol_or_text;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;tags_mixed_delimiters
3,ORD-1003,currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;phone_inconsistent_format;product_unknown;quantity_non_numeric
4, 1004 ,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;product_name_typo_or_variant;quantity_non_numeric;tags_mixed_delimiters
5, ORD-1005,currency_symbol_or_text;decimal_separator_variation;email_invalid_format;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;tags_mixed_delimiters;total_price_mismatch
6,\t1006-01 ,currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;product_name_typo_or_variant;quantity_non_numeric;tax_or_discount_percent_string
7,ORD1007,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;email_invalid_format;inconsistent_order_id_format;invalid_date_token;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;product_name_typo_or_variant;quantity_non_numeric;tags_mixed_delimiters
8,ORD1008,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;outlier_date;quantity_non_numeric;tags_mixed_delimiters
9,ORD-1009,country_region_mixed;currency_symbol_or_text;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;phone_inconsistent_format
10,1010,address_multiline_or_missing_punctuation;currency_symbol_or_text;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;quantity_non_numeric
11,ORD-1011,currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;negative_or_parentheses_price;quantity_non_numeric;tags_mixed_delimiters
12,  1012,country_region_mixed;decimal_separator_variation;email_invalid_format;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;phone_inconsistent_format;quantity_non_numeric;shipping_cost_free_string;tax_or_discount_percent_string
13,#1013,currency_symbol_or_text;decimal_separator_variation;email_invalid_format;leading_trailing_whitespace;merged_columns_duplicates;phone_inconsistent_format;quantity_non_numeric;tags_mixed_delimiters
14,01014 ,country_region_mixed;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;quantity_non_numeric
15,1015-01,address_multiline_or_missing_punctuation;currency_symbol_or_text;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;product_name_typo_or_variant
16,\t01016,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;outlier_date;quantity_non_numeric;tags_mixed_delimiters
17,Order ID,currency_symbol_or_text;header_row_inside_data;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;outlier_date;quantity_non_numeric
18,1018,currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;phone_inconsistent_format;quantity_non_numeric;tags_mixed_delimiters;tax_or_discount_percent_string
19,null,currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_order_id_format;invalid_date_token;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;quantity_non_numeric;tags_mixed_delimiters
20,01020,address_multiline_or_missing_punctuation;currency_symbol_or_text;email_invalid_format;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;negative_or_parentheses_price;product_name_typo_or_variant;shipping_cost_free_string;total_price_mismatch
21,ORD1021,address_multiline_or_missing_punctuation;currency_symbol_or_text;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric;quantity_range_string;shipping_cost_free_string;tags_mixed_delimiters
22,1022-01,address_multiline_or_missing_punctuation;country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;product_name_typo_or_variant;quantity_non_numeric;tax_or_discount_percent_string
23,01023,currency_symbol_or_text;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;negative_or_parentheses_price;phone_inconsistent_format;quantity_non_numeric;tags_mixed_delimiters
24,#1024,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;product_unknown;quantity_non_numeric;tags_mixed_delimiters
25,#1025,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;email_invalid_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;product_name_typo_or_variant
26,ORD-1026,currency_symbol_or_text;decimal_separator_variation;email_invalid_format;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric;tags_mixed_delimiters
27,ORD1027,currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;tags_mixed_delimiters
28, #1028,country_region_mixed;decimal_separator_variation;leading_trailing_whitespace;merged_columns_duplicates;negative_or_parentheses_price
29,1029-01,address_multiline_or_missing_punctuation;country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;quantity_non_numeric;tags_mixed_delimiters
30,1030-01,country_region_mixed;currency_symbol_or_text;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters;tax_or_discount_percent_string
31,  1031-01,address_multiline_or_missing_punctuation;country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;phone_inconsistent_format;quantity_non_numeric;tax_or_discount_percent_string
32,1032,currency_symbol_or_text;email_invalid_format;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;quantity_non_numeric;quantity_range_string;swapped_fields
33,01033,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;quantity_non_numeric;quantity_range_string;swapped_fields;tags_mixed_delimiters;tax_or_discount_percent_string
34, 1034 ,currency_symbol_or_text;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;negative_or_parentheses_price;outlier_date
35,\tOrder ID  ,country_region_mixed;header_row_inside_data;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric;tags_mixed_delimiters
36,ORD1036,currency_symbol_or_text;email_invalid_format;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;phone_inconsistent_format;product_name_typo_or_variant;quantity_non_numeric;quantity_range_string
37,ORD-1037,currency_symbol_or_text;email_invalid_format;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;quantity_non_numeric;tax_or_discount_percent_string
38,1038-01,currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;product_unknown;quantity_non_numeric;tags_mixed_delimiters
39,#1039,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;quantity_non_numeric
40, ,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;product_name_typo_or_variant;quantity_non_numeric;tags_mixed_delimiters
41,1041-01,currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;quantity_non_numeric
42,01042,currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;invalid_date_token;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters
43, 1043 ,currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;quantity_non_numeric;tags_mixed_delimiters
44,ORD1044,currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric;tags_mixed_delimiters
45,#1045,currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats
46,#1046,decimal_separator_variation;email_invalid_format;inconsistent_case;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric;tags_mixed_delimiters;tax_or_discount_percent_string
47,-,address_multiline_or_missing_punctuation;country_region_mixed;currency_symbol_or_text;decimal_separator_variation;email_invalid_format;inconsistent_case;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;phone_inconsistent_format;quantity_non_numeric
48,ORD1048,decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;negative_or_parentheses_price;phone_inconsistent_format;product_name_typo_or_variant;quantity_non_numeric;quantity_range_string;shipping_cost_free_string;tags_mixed_delimiters
49,  ORD-1049  ,address_multiline_or_missing_punctuation;country_region_mixed;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;negative_or_parentheses_price;product_unknown;tags_mixed_delimiters
50,01050  ,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;quantity_non_numeric;tags_mixed_delimiters
51, 1051 ,currency_symbol_or_text;email_invalid_format;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;phone_inconsistent_format;quantity_non_numeric;tags_mixed_delimiters
52, 1052 ,currency_symbol_or_text;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;quantity_non_numeric;tags_mixed_delimiters
53,ORD-1053,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters;tax_or_discount_percent_string
54,1054,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric
55,   1055  ,address_multiline_or_missing_punctuation;country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;quantity_non_numeric;quantity_range_string
56,  1056   ,currency_symbol_or_text;decimal_separator_variation;email_invalid_format;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;quantity_non_numeric;shipping_cost_free_string;tags_mixed_delimiters
57,01057,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;quantity_non_numeric
58, 01058  ,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric
59,1059-01,address_multiline_or_missing_punctuation;decimal_separator_variation;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;negative_or_parentheses_price;phone_inconsistent_format
60,-,currency_symbol_or_text;email_invalid_format;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;outlier_date;tags_mixed_delimiters
61,ORD1061,currency_symbol_or_text;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters
62,01062,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;email_invalid_format;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;product_name_typo_or_variant;quantity_non_numeric
63,1063-01,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;product_name_typo_or_variant;tax_or_discount_percent_string
64,  #1064,currency_symbol_or_text;decimal_separator_variation;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;quantity_non_numeric
65,\t#1065  ,decimal_separator_variation;inconsistent_currency;leading_trailing_whitespace;merged_columns_duplicates;negative_or_parentheses_price;phone_inconsistent_format;quantity_non_numeric;quantity_range_string;shipping_cost_free_string;tax_or_discount_percent_string
66,1066-01,decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;phone_inconsistent_format;product_name_typo_or_variant;quantity_non_numeric
67,01067,decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;quantity_non_numeric;tags_mixed_delimiters
68,#1068,currency_symbol_or_text;decimal_separator_variation;email_invalid_format;inconsistent_currency;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric;quantity_range_string
69,#1069,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;quantity_non_numeric;shipping_cost_free_string;tags_mixed_delimiters
70,  #1070  ,currency_symbol_or_text;decimal_separator_variation;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;tags_mixed_delimiters
71,#1071,currency_symbol_or_text;email_invalid_format;inconsistent_currency;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters
72,  #1072 ,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;quantity_non_numeric;quantity_range_string
73,1073,country_region_mixed;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;negative_or_parentheses_price;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters
74,ORD1074,country_region_mixed;currency_symbol_or_text;email_invalid_format;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric
75,01075,address_multiline_or_missing_punctuation;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;product_unknown;quantity_non_numeric;swapped_fields;tags_mixed_delimiters
76, ORD-1076,country_region_mixed;decimal_separator_variation;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;quantity_non_numeric;tax_or_discount_percent_string
77,ORD-1077,country_region_mixed;currency_symbol_or_text;email_invalid_format;inconsistent_order_id_format;invalid_date_token;leading_trailing_whitespace;merged_columns_duplicates;phone_inconsistent_format;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters
78,1078,decimal_separator_variation;email_invalid_format;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;phone_inconsistent_format;quantity_non_numeric;tags_mixed_delimiters;tax_or_discount_percent_string
79, 1079   ,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;phone_inconsistent_format;tags_mixed_delimiters
80,01080,country_region_mixed;decimal_separator_variation;email_invalid_format;inconsistent_currency;inconsistent_order_id_format;invalid_date_token;merged_columns_duplicates;shipping_cost_free_string;tax_or_discount_percent_string;total_price_mismatch
81, 1081 ,country_region_mixed;currency_symbol_or_text;email_invalid_format;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;product_name_typo_or_variant;quantity_non_numeric;shipping_cost_free_string;tax_or_discount_percent_string
82, 1082 ,currency_symbol_or_text;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;product_name_typo_or_variant;quantity_non_numeric;tags_mixed_delimiters
83,#1083,address_multiline_or_missing_punctuation;currency_symbol_or_text;leading_trailing_whitespace;merged_columns_duplicates;quantity_non_numeric;tags_mixed_delimiters;tax_or_discount_percent_string
84,ORD1084,currency_symbol_or_text;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric
85,#1085,country_region_mixed;currency_symbol_or_text;inconsistent_currency;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric;quantity_range_string
86,  1086 ,address_multiline_or_missing_punctuation;currency_symbol_or_text;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;quantity_non_numeric;tags_mixed_delimiters
87, 1087 ,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;email_invalid_format;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;quantity_non_numeric
88,01088,address_multiline_or_missing_punctuation;decimal_separator_variation;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;product_unknown;quantity_non_numeric;quantity_range_string;shipping_cost_free_string
89,01089 ,country_region_mixed;currency_symbol_or_text;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;phone_inconsistent_format;product_name_typo_or_variant;quantity_non_numeric;tags_mixed_delimiters;tax_or_discount_percent_string
90,1090-01,currency_symbol_or_text;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;quantity_non_numeric;quantity_range_string;swapped_fields
91,ORD1091,address_multiline_or_missing_punctuation;currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;outlier_date;quantity_non_numeric;tags_mixed_delimiters
92, 1092  ,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;product_unknown;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters
93,1093,country_region_mixed;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;phone_inconsistent_format;quantity_non_numeric;swapped_fields;tags_mixed_delimiters;tax_or_discount_percent_string
94, 1094 ,country_region_mixed;decimal_separator_variation;email_invalid_format;inconsistent_case;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;quantity_non_numeric;quantity_range_string;swapped_fields;tags_mixed_delimiters
95, 1095 ,currency_symbol_or_text;decimal_separator_variation;email_invalid_format;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;product_unknown;quantity_non_numeric;shipping_cost_free_string;tags_mixed_delimiters
96,  #1096,currency_symbol_or_text;inconsistent_case;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;negative_or_parentheses_price;phone_inconsistent_format;quantity_non_numeric;tags_mixed_delimiters;tax_or_discount_percent_string
97,ORD1097,address_multiline_or_missing_punctuation;country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;quantity_non_numeric;tax_or_discount_percent_string
98,\t 1098   ,currency_symbol_or_text;email_invalid_format;inconsistent_case;inconsistent_order_id_format;invalid_date_token;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters;tax_or_discount_percent_string;total_price_mismatch
99,1099-01,country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;mixed_date_formats;quantity_non_numeric;quantity_range_string;tags_mixed_delimiters
100,1100-01,currency_symbol_or_text;decimal_separator_variation;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric;swapped_fields
101,#1101,currency_symbol_or_text;decimal_separator_variation;leading_trailing_whitespace;merged_columns_duplicates;missing_value_placeholder;mixed_date_formats;negative_or_parentheses_price;quantity_non_numeric;tags_mixed_delimiters
102,1102,address_multiline_or_missing_punctuation;country_region_mixed;currency_symbol_or_text;decimal_separator_variation;inconsistent_case;inconsistent_currency;inconsistent_order_id_format;leading_trailing_whitespace;merged_columns_duplicates;quantity_non_numeric;tags_mixed_delimiters;total_price_mismatch
103,#1103,currency_symbol_or_text;decimal_separator_variation;leading_trailing_whitespace;merged_columns_duplicates;tags_mixed_delimiters
